,imdb,metascore,movie,timemin,us_gross_million,votes,year
0,8.0,51.0,The Gentlemen,113,,104522,2019
1,7.0,83.0,Once Upon a Time... in Hollywood,161,142.5,440145,2019
2,8.0,96.0,Gisaengchung,132,53.37,369189,2019
3,8.0,82.0,Knives Out,131,165.36,273290,2019
4,8.0,78.0,1917,119,159.23,279892,2019
5,7.0,,The Ten Commandments,220,93.74,60756,1956
6,7.0,91.0,Little Women,135,108.1,92624,2019
7,8.0,78.0,Avengers: Endgame,181,858.37,698488,2019
8,8.0,59.0,Joker,122,335.45,755745,2019
9,9.0,80.0,The Shawshank Redemption,142,28.34,2221398,1994
10,7.0,58.0,Jojo Rabbit,108,0.35,193848,2019
11,8.0,81.0,Ford v. Ferrari,152,117.62,198380,2019
12,9.0,100.0,The Godfather,175,134.97,1530688,1972
13,8.0,74.0,Inception,148,292.58,1947998,2010
14,7.0,94.0,The Irishman,209,,276511,2019
15,7.0,64.0,Harry Potter and the Sorcerer's Stone,152,317.58,605086,2001
16,8.0,67.0,The Perks of Being a Wallflower,103,17.74,440666,2012
17,8.0,74.0,Interstellar,169,188.02,1399191,2014
18,9.0,84.0,The Dark Knight,152,534.86,2196586,2008
19,8.0,90.0,Mad Max: Fury Road,120,154.06,831887,2015
20,7.0,93.0,Call Me by Your Name,132,18.1,185588,2017
21,7.0,72.0,Road to Perdition,117,104.45,237606,2002
22,8.0,94.0,Pulp Fiction,154,107.93,1742899,1994
23,7.0,83.0,The Lighthouse,109,0.43,93339,2019
24,8.0,85.0,Raiders of the Lost Ark,115,248.16,848821,1981
25,8.0,92.0,The Lord of the Rings: The Fellowship of the Ring,178,315.54,1587114,2001
26,8.0,95.0,Portrait de la jeune fille en feu,122,,30877,2019
27,7.0,84.0,Toy Story 4,100,434.04,173578,2019
28,8.0,90.0,Goodfellas,146,46.84,966874,1990
29,8.0,81.0,Blade Runner 2049,164,92.05,424116,2017
30,8.0,69.0,Green Book,130,85.08,311610,2018
31,8.0,68.0,Avengers: Infinity War,149,678.82,763510,2018
32,7.0,95.0,The Social Network,120,96.96,594862,2010
33,8.0,78.0,The Dark Knight Rises,164,448.14,1453236,2012
34,8.0,69.0,Inglourious Basterds,153,120.54,1199041,2009
35,7.0,74.0,Thor: Ragnarok,130,315.06,543613,2017
36,8.0,66.0,Fight Club,139,37.03,1770904,1999
37,8.0,75.0,The Wolf of Wall Street,180,116.9,1106342,2013
38,7.0,75.0,Titanic,194,659.33,1003007,1997
39,8.0,84.0,Aliens,137,85.16,627463,1986
40,8.0,80.0,Casino Royale,144,167.45,561269,2006
41,8.0,82.0,Forrest Gump,142,330.25,1713859,1994
42,8.0,79.0,Gone Girl,149,167.77,810460,2014
43,8.0,93.0,The Last Picture Show,118,29.13,39899,1971
44,8.0,73.0,The Matrix,136,171.48,1596458,1999
45,8.0,94.0,Marriage Story,137,,203338,2019
46,7.0,87.0,Goldfinger,110,51.08,165703,1964
47,8.0,91.0,Saving Private Ryan,169,216.54,1176907,1998
48,8.0,,Contratiempo,106,,111756,2016
49,8.0,76.0,Guardians of the Galaxy,121,333.18,1006369,2014
